SpotsCondition	SpotsReplicate	Total_spots
siCtrl	1	158
siCtrl	1	191
siCtrl	1	196
siCtrl	1	258
siCtrl	1	263
siCtrl	1	319
siCtrl	1	371
siCtrl	1	372
siCtrl	1	377
siCtrl	1	384
siCtrl	1	440
siCtrl	1	508
siCtrl	1	552
siCtrl	1	606
siCtrl	1	617
siCtrl	1	645
siCtrl	1	645
siCtrl	1	656
siCtrl	1	753
siCtrl	1	843
siCtrl	1	868
siCtrl	1	1128
siCtrl	1	1809
siEps1/2/3	1	155
siEps1/2/3	1	199
siEps1/2/3	1	260
siEps1/2/3	1	291
siEps1/2/3	1	380
siEps1/2/3	1	410
siEps1/2/3	1	444
siEps1/2/3	1	483
siEps1/2/3	1	494
siEps1/2/3	1	524
siEps1/2/3	1	539
siEps1/2/3	1	545
siEps1/2/3	1	559
siEps1/2/3	1	562
siEps1/2/3	1	566
siEps1/2/3	1	592
siEps1/2/3	1	606
siEps1/2/3	1	609
siEps1/2/3	1	669
siEps1/2/3	1	670
siEps1/2/3	1	729
siEps1/2/3	1	781
siEps1/2/3	1	832
siEps1/2/3	1	845
siEps1/2/3	1	884
siEps1/2/3	1	902
siEps1/2/3	1	1069
siEps1/2/3	1	1072
siEps1/2/3	1	1091
siEps1/2/3	1	1183
siEps1/2/3	1	1490
siEps1/2/3	1	2188
siEps1/2/3	1	3363
siCtrl	2	158
siCtrl	2	186
siCtrl	2	188
siCtrl	2	205
siCtrl	2	205
siCtrl	2	220
siCtrl	2	364
siCtrl	2	410
siCtrl	2	479
siCtrl	2	483
siCtrl	2	487
siCtrl	2	520
siCtrl	2	545
siCtrl	2	615
siCtrl	2	637
siCtrl	2	670
siCtrl	2	698
siCtrl	2	714
siCtrl	2	764
siCtrl	2	785
siCtrl	2	797
siCtrl	2	808
siCtrl	2	879
siCtrl	2	885
siCtrl	2	950
siCtrl	2	1128
siCtrl	2	1140
siEps1/2/3	2	286
siEps1/2/3	2	337
siEps1/2/3	2	369
siEps1/2/3	2	423
siEps1/2/3	2	427
siEps1/2/3	2	441
siEps1/2/3	2	465
siEps1/2/3	2	494
siEps1/2/3	2	540
siEps1/2/3	2	585
siEps1/2/3	2	608
siEps1/2/3	2	648
siEps1/2/3	2	693
siEps1/2/3	2	763
siEps1/2/3	2	889
siEps1/2/3	2	938
siEps1/2/3	2	966
siEps1/2/3	2	1048
siEps1/2/3	2	1144
siEps1/2/3	2	1159
siEps1/2/3	2	1294
siEps1/2/3	2	1486
siEps1/2/3	2	1511
siEps1/2/3	2	1875
siEps1/2/3	2	2184
siEps1/2/3	2	2394
siCtrl	3	165
siCtrl	3	182
siCtrl	3	186
siCtrl	3	223
siCtrl	3	240
siCtrl	3	281
siCtrl	3	285
siCtrl	3	314
siCtrl	3	327
siCtrl	3	332
siCtrl	3	385
siCtrl	3	398
siCtrl	3	404
siCtrl	3	414
siCtrl	3	558
siCtrl	3	647
siCtrl	3	650
siCtrl	3	717
siCtrl	3	731
siCtrl	3	752
siCtrl	3	781
siCtrl	3	1243
siCtrl	3	1306
siEps1/2/3	3	169
siEps1/2/3	3	307
siEps1/2/3	3	320
siEps1/2/3	3	333
siEps1/2/3	3	335
siEps1/2/3	3	362
siEps1/2/3	3	371
siEps1/2/3	3	375
siEps1/2/3	3	405
siEps1/2/3	3	430
siEps1/2/3	3	447
siEps1/2/3	3	455
siEps1/2/3	3	480
siEps1/2/3	3	503
siEps1/2/3	3	510
siEps1/2/3	3	511
siEps1/2/3	3	552
siEps1/2/3	3	561
siEps1/2/3	3	562
siEps1/2/3	3	621
siEps1/2/3	3	676
siEps1/2/3	3	679
siEps1/2/3	3	682
siEps1/2/3	3	868
siEps1/2/3	3	881
siEps1/2/3	3	1083
