AP180c	beta1	beta2	epsin
1.529049316234877	0.3406786259199852	0.7589877944024783	0.6937900956257287
0.4433059719395167	0.1668935899752507	0.3910211762405758	0.06013531705929442
0.7455827590524828	0.3121043833109984	0.1976391014504057	0.2137776939851704
1.199291425822942	0.3087220991585295	0.2669852363900143	0.1330920343798391
0.4466361744559638	0.6840984667162952	0.1294280379356589	0.7579228235319926
0.8337991195459307	0.1563234139208581	0.5778068538050902	0.4426208731913597
0.6804535758068337	0.1807389082648696	0.4144114267320338	0.3955789361889571
0.5050060037436416	0.4044357462973329	0.274309283042099	0.09831029185867896
0.337260624512026	0.1855780256252996	0.4316352949669092	0.2412350693449181
0.359168495412422	0.2612465994623119	0.9132471362778068	0.71723920286035
	0.346931493840391	0.03732067416065804	0.3321975182124197
	0.4620286222576556	0.268891797345102	0.199054423229845
	0.2877712267729491	0.4420682231547143	0.04387250186425874
	0.2624834114763568	0.5282613931987528	0.45862901867545
	0.5081873502815374	0.5911394354942757	0.9481142968097511
	0.1694987231863844	0.5290401787817843	0.05520313897430221
	0.4992392430572999	0.7800351180294426	0.5246101700489443
		0.7708152027562378	
		0.5559386363872872	
